,comment
2527,"While the last part about multiplying matrixes was still a little complicated this is still a great video.  I'm a graduate student who, before taking any of my current classes, had zero experience in any field such as machine learning.  But this video made it very easy to understand and I now feel like I have a good grasp on what learning using neural networks means.  Thanks for the great video!"
2528,"Question:  I'm confused as to why the sigmoid function is represented with lowercase sigma (which makes me think standard deviation, tbh). If it represents the sum, wouldn't it be uppercase, or am I just being nit-picky?"
2529,This was EPIC!
2530,Oh my God! - this is really amazing video! I enjoyed watching this and now I can explain this to my friends!!
2531,"Minor critique: Perhaps a bit late in coming, but anyway. At 14 minutes, you explain how the matrix mult'n creates a vector product (of question marks ""?""), and  show a brief animation of the production of vector elements a(1)_0, a(1)_1, and a(1)_6 (only 6 output nodes in this diagram). This makes sense looking at the neural net diagram; however, the equation above is confusing because it doesn't change with the animation, even though it's calculating different elements of the output vector. Ideally, the eq'n should update its indices to match the animation. E.g. Update a(1)_0 = S(w0,0 * a(0)_0 + ...) to a(1)_1 = S(w1,0 * a(0)_1 + ...),  etc. IMHO, this would make the connection between the diagram and the eq'n much more obvious and intuitive."
2532,"The Czech name and description of the video don't make sense. Please stop using Google Translator, it's much easier to read it in English than to decipher broken Czech… 😣"
2533,I want this to take my job although I'm proud to say I can now read doctor scribble. Train this to read doctor scribble lol
2534,"Thank you for how you explained this. I've been sent here by someone trying to change my opinion on Machine Learning, after this opinion has been wrecked by the mainstream media. I was introduced to the subject by press articles that started popping up last year, most of which could be summed up as ""hahaha we found a way to magically give computers human intelligence, now we can recognize people's faces and block porn and do other creepy repressive stuff"". Over the past year I've been convinced this is all a made up fantasy created to satisfy delusional Robocop fans with Orwellian tendencies, as well as a cover up for manned mass surveillance. I still refuse to believe that some of the highly advanced content recognition can ever be done in binary code, but I cannot ignore that there must be at least some truth behind all this. It's funny to think that if the world wasn't so damn stupid I might have looked into the subject earlier instead of becoming one of its biggest skeptics and haters, since I've been a programmer for over a decade so it's not all new to me... sadly the stupidity of society ruins everything it touches. I guess it is never too late though, and what is true of this could be very interesting."
2535,"Could you PLEASE do ""Convolution""? I want to know where does the ""Tao"" come from?"
2536,From where can i learn the object recognition  or which modules i have to go through for object recognition?
2537,"How science affects our thinking:
Let's look at the first seconds of this video. The voice makes the point that we should appreaciate how ""crazy"" it is that our ""brain"" can recognize a handwritten written number, while computers are traditionally so bad in doing the same thing. While this is the introduction to neural networks and stuff I just wanted to make the point that it is not ""crazy"" at all, that humans can read a number they have invented themselves. Math is a human invention like is science and eg. the manner of how we perceive time. (Read ""An essay on time"" by Norbert Elias if you're intereseted)."
2538,You do an amazing job of explaining this topic in a very vivid way! Thanks!!
2539,Wow...just WOW. Your ability to break-down complex topics is mind-blowing. SUBSCRIBED.
2540,日本語もーー
2541,This is one of the most Awesome video I have ever seen
2542,Best explanation on the internet with visualization about NEURAL NETWORK!
2543,This man is a God.
2544,I love your channel man! You are awesome! :)
2545,"Obrigado pelo vídeo! Brazil, Pernambuco, Recife \o"
2546,awesome sir..brilliant
2547,"17:05 Lisha Lee has such a Hard ""VOCAL FRY"" (Look it up) it becomes very HARD to listen to her, HARD to interpret the consonants she's saying, HARD to gather the words she's saying. ""VOCAL FRY"" is a vocal mannerism kids pick up in college, trying to sound more profound and learn-ed. Ending each sentence with a downward turn of MORE FRY, and as sentences go on, more and more sustained FRY, indicating greater and greater import in what they are saying. Problem is the more FRY they turn on, the more and more, all that's left is the POPPING of the vocal chords together, and less and less of the other frequencies that illuminate the consonants that articulate the clarifying symbols of the words being said, leaving the listener with more and more occasions of duplicitous words to assemble into coherent meaning.
We industrial computer programmers used to say about the ""Clarifying Comments"" we were asked to embed in our CODE, so that following trouble shooters or re-programmers could more easily understand how the various sections of the programs operated, we would say, ""If it was difficult for us to write the code, it should be so much more difficult to read the comments!"" 
In fact, the CODE was so complex, the only ones that could read the code comments, were people who had traveled down almost identical paths as the original programmer, and nobody else could intelligently determine if the original programmer had filled in the commentary correctly, done his job or not. All that anyone really knew was that the program had operated correctly up to the current moment in time, and the future performance was a  vague prediction of past performance. Unknown future conditions would precipitate unknown future results.
I offer this explanation in support of the contention that I know of what I speak, and VOCAL FRY, IS NOT AN INDICATOR OF PROFOUND COMPETENCE, but rather is merely ""eye wash"" thrown in the face of critical observers intending to obscure REAL CRITICAL OBSERVATION of any significant competence, and create just confusion and artificial AWE to others. 
Interestingly I used the Audio Spectrograph Application loaded on my phone, and I could see the clear articulation and fundamental frequencies of the male speaker, and then watch Lisha speaking, and the more VOCAL FRY she turned on, the more the fundamental frequency of her voice disappeared into the NOISE of the other frequencies created by the FRY, AND THE LESS INTELLIGIBLE HER DISCUSSION BECAME. Visually less and less clear and articulated, and WHERE TO LOOK FOR THE CONSONANTS.....  WOW Very informative. 
Lisha you might want to MATURE, and get that fixed. People can see right through that VOCAL FRY, and KNOW that you are faking as much as you can. I know you are smart, EARNED that Phd. but you need to get rid of that ""TICK"" in your voice, ""It is masking your true smarts!"" Be ""genuine,"" don't fake being fake, it doesn't become you."
